City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2020-12-03 15:16:09,3.07,172.79,80.76,82,20,13.38
1,Longyearbyen,SJ,2020-12-03 15:15:39,78.22,15.64,19.4,67,75,26.4
2,Rochegda,RU,2020-12-03 15:17:13,62.8,43.25,21.9,97,86,7.34
3,Tiznit,MA,2020-12-03 15:17:14,29.58,-9.5,63.9,52,27,10.71
4,Malakal,SS,2020-12-03 15:16:52,9.53,31.66,92.7,16,0,4.21
5,Mataura,NZ,2020-12-03 15:16:00,-46.19,168.86,52.0,74,92,8.99
6,Arraial Do Cabo,BR,2020-12-03 15:16:11,-22.97,-42.03,87.8,66,40,12.75
7,Tessalit,ML,2020-12-03 15:16:06,20.2,1.01,93.38,11,0,6.91
8,New Norfolk,AU,2020-12-03 15:16:09,-42.78,147.06,54.0,66,89,5.01
9,Bredasdorp,ZA,2020-12-03 15:16:08,-34.53,20.04,71.6,53,0,12.75
10,Vaini,TO,2020-12-03 15:16:05,-21.2,-175.2,73.4,88,75,4.7
11,Carnarvon,AU,2020-12-03 15:15:52,-24.87,113.63,71.6,88,0,20.8
12,Busselton,AU,2020-12-03 15:16:08,-33.65,115.33,55.99,80,0,5.01
13,Kaitangata,NZ,2020-12-03 15:16:26,-46.28,169.85,51.01,70,100,4.0
14,Georgetown,MY,2020-12-03 15:15:57,5.41,100.34,78.8,88,40,6.93
15,Hithadhoo,MV,2020-12-03 15:16:07,-0.6,73.08,83.14,76,37,19.22
16,Hasaki,JP,2020-12-03 15:16:16,35.73,140.83,45.0,100,20,6.93
17,Hobart,AU,2020-12-03 15:17:15,-42.88,147.33,55.4,62,40,10.29
18,Lishu,CN,2020-12-03 15:17:15,43.3,124.33,12.67,94,0,9.13
19,Husavik,IS,2020-12-03 15:16:28,66.04,-17.34,24.8,85,90,28.86
20,Barrow,US,2020-12-03 15:16:10,71.29,-156.79,12.2,78,90,9.17
21,Saldanha,ZA,2020-12-03 15:16:13,-33.01,17.94,77.0,31,0,26.4
22,Kapaa,US,2020-12-03 15:14:52,22.08,-159.32,68.0,88,1,10.29
23,Kamaishi,JP,2020-12-03 15:14:22,39.27,141.88,36.99,79,11,9.08
24,Lebu,CL,2020-12-03 15:16:32,-37.62,-73.65,56.68,61,48,19.35
25,Broome,US,2020-12-03 15:16:10,42.25,-75.83,36.0,74,1,6.93
26,Naryan-Mar,RU,2020-12-03 15:17:15,67.67,53.09,30.02,97,100,19.8
27,Punta Arenas,CL,2020-12-03 15:15:56,-53.15,-70.92,46.4,52,75,19.46
28,Castro,BR,2020-12-03 15:17:16,-24.79,-50.01,68.85,91,100,8.63
29,Bengkulu,ID,2020-12-03 15:16:27,-3.8,102.27,77.07,79,99,5.06
30,Morant Bay,JM,2020-12-03 15:16:58,17.88,-76.41,80.01,83,40,10.29
31,Nicoya,CR,2020-12-03 15:15:02,10.15,-85.45,78.8,78,75,3.36
32,Emborion,GR,2020-12-03 15:17:16,40.48,21.55,48.0,100,90,4.63
33,Sao Joao Da Barra,BR,2020-12-03 15:12:30,-21.64,-41.05,84.2,66,20,9.17
34,Port Alfred,ZA,2020-12-03 15:16:01,-33.59,26.89,66.7,65,0,14.7
35,Port Blair,IN,2020-12-03 15:15:18,11.67,92.75,81.09,80,58,6.89
36,Gushi,CN,2020-12-03 15:17:16,34.64,109.58,30.45,95,82,0.98
37,Marsh Harbour,BS,2020-12-03 15:17:16,26.54,-77.06,69.94,61,3,17.2
38,Kruisfontein,ZA,2020-12-03 15:16:32,-34.0,24.73,71.01,49,0,8.01
39,Ribeira Grande,PT,2020-12-03 15:16:22,38.52,-28.7,62.6,63,20,16.11
40,Korsakov,RU,2020-12-03 15:17:17,46.63,142.78,12.2,92,20,4.47
41,Hami,CN,2020-12-03 15:16:12,42.8,93.45,19.85,80,0,4.07
42,Katsuura,JP,2020-12-03 15:17:17,35.13,140.3,50.0,87,20,11.41
43,Mar Del Plata,AR,2020-12-03 15:14:45,-38.0,-57.56,69.8,49,0,9.17
44,Saskylakh,RU,2020-12-03 15:16:03,71.92,114.08,6.75,94,100,11.34
45,Atuona,PF,2020-12-03 15:17:17,-9.8,-139.03,77.65,80,22,17.4
46,Te Anau,NZ,2020-12-03 15:16:14,-45.42,167.72,46.27,83,75,6.46
47,Aklavik,CA,2020-12-03 15:16:42,68.22,-135.01,23.0,100,75,2.24
48,Kodiak,US,2020-12-03 15:16:15,57.79,-152.41,24.8,68,1,6.93
49,Muravlenko,RU,2020-12-03 15:17:17,63.79,74.52,9.93,95,99,13.31
50,Chokurdakh,RU,2020-12-03 15:16:10,70.63,147.92,-10.25,91,91,3.24
51,Torbay,CA,2020-12-03 15:16:20,47.67,-52.73,55.4,100,90,25.28
52,Waipawa,NZ,2020-12-03 15:16:27,-41.41,175.52,57.2,76,30,20.8
53,Berlevag,NO,2020-12-03 15:16:06,70.86,29.09,37.4,80,75,34.45
54,Nanortalik,GL,2020-12-03 15:16:04,60.14,-45.24,32.94,78,100,19.13
55,Akola,IN,2020-12-03 15:17:18,20.73,77.0,72.63,30,100,5.32
56,Cape Town,ZA,2020-12-03 15:16:03,-33.93,18.42,69.01,64,0,27.51
57,Qui Nhon,VN,2020-12-03 15:17:18,13.77,109.23,71.76,79,41,20.8
58,Winneba,GH,2020-12-03 15:17:05,5.35,-0.62,87.8,66,57,14.99
59,Thompson,CA,2020-12-03 15:12:31,55.74,-97.86,17.6,92,75,3.36
60,Sao Filipe,CV,2020-12-03 15:16:07,14.9,-24.5,76.05,76,100,8.34
61,Victoria,HK,2020-12-03 15:16:02,22.29,114.16,61.0,67,25,1.01
62,Nuuk,GL,2020-12-03 15:12:46,64.18,-51.72,24.8,45,75,21.92
63,Severo-Kurilsk,RU,2020-12-03 15:16:15,50.68,156.12,25.56,90,79,10.22
64,Klaksvik,FO,2020-12-03 15:16:31,62.23,-6.59,33.8,65,100,4.7
65,Bubaque,GW,2020-12-03 15:16:54,11.28,-15.83,81.16,52,5,3.65
66,Nelson Bay,AU,2020-12-03 15:17:19,-32.72,152.15,70.0,94,97,7.02
67,Vila,PT,2020-12-03 15:16:43,42.03,-8.16,45.0,89,100,8.99
68,Katangli,RU,2020-12-03 15:16:57,51.71,143.23,8.62,88,37,12.03
69,Ponta Do Sol,PT,2020-12-03 15:16:06,32.67,-17.1,69.01,72,40,18.34
70,Kovylkino,RU,2020-12-03 15:17:20,54.04,43.91,11.93,92,91,7.38
71,Manzil Kamil,TN,2020-12-03 15:17:20,35.62,10.67,59.0,58,40,20.8
72,Naze,JP,2020-12-03 15:16:47,28.37,129.48,64.4,82,75,24.16
73,East London,ZA,2020-12-03 15:16:03,-33.02,27.91,69.8,60,40,9.17
74,Rikitea,PF,2020-12-03 15:17:20,-23.12,-134.97,75.67,71,1,3.65
75,Lorengau,PG,2020-12-03 15:16:47,-2.02,147.27,81.07,75,100,1.99
76,Luanda,AO,2020-12-03 15:16:07,-8.84,13.23,77.0,88,75,6.93
77,Hilo,US,2020-12-03 15:15:57,19.73,-155.09,71.6,68,75,5.82
78,Coahuayana,MX,2020-12-03 15:17:20,18.73,-103.68,69.8,73,75,11.41
79,Batagay,RU,2020-12-03 15:17:21,67.63,134.63,-23.12,81,99,4.18
80,Isangel,VU,2020-12-03 15:16:05,-19.55,169.27,75.09,82,100,9.93
81,Shelburne,CA,2020-12-03 15:17:21,44.08,-80.2,35.6,80,90,12.75
82,Talnakh,RU,2020-12-03 15:16:22,69.49,88.4,10.4,85,75,4.47
83,Bathsheba,BB,2020-12-03 15:16:48,13.22,-59.52,80.29,76,27,15.84
84,Cidreira,BR,2020-12-03 15:16:25,-30.18,-50.21,77.85,73,71,18.1
85,Tuktoyaktuk,CA,2020-12-03 15:16:07,69.45,-133.04,30.2,92,90,8.05
86,Clyde River,CA,2020-12-03 15:16:06,70.47,-68.59,17.6,85,75,8.05
87,Margate,GB,2020-12-03 15:16:35,51.38,1.39,45.0,89,100,8.01
88,Upernavik,GL,2020-12-03 15:16:04,72.79,-56.15,17.73,85,100,10.18
89,Avarua,CK,2020-12-03 15:16:04,-21.21,-159.78,73.4,100,71,3.36
90,Nikolskoye,RU,2020-12-03 15:17:22,59.7,30.79,28.4,86,75,11.18
91,Lamu,KE,2020-12-03 15:15:00,-2.27,40.9,80.6,88,20,13.31
92,Fairbanks,US,2020-12-03 15:17:22,64.84,-147.72,10.0,89,100,4.68
93,Mahebourg,MU,2020-12-03 15:16:45,-20.41,57.7,78.8,78,40,8.05
94,Biltine,TD,2020-12-03 15:17:22,14.53,20.92,91.02,11,0,7.43
95,Jamestown,US,2020-12-03 15:16:31,42.1,-79.24,34.0,74,1,10.29
96,Peniche,PT,2020-12-03 15:16:16,39.36,-9.38,60.01,61,33,5.01
97,Harper,LR,2020-12-03 15:17:22,4.38,-7.72,82.8,73,51,6.76
98,Chapais,CA,2020-12-03 15:17:23,49.78,-74.85,10.4,85,90,10.29
99,Tupik,RU,2020-12-03 15:17:24,54.43,119.93,9.01,89,85,4.45
100,Bluff,NZ,2020-12-03 15:16:11,-46.6,168.33,52.0,74,99,8.99
101,Yulara,AU,2020-12-03 15:16:02,-25.24,130.99,86.0,19,48,11.41
102,Swan Hill,AU,2020-12-03 15:17:24,-35.34,143.55,66.04,29,0,10.2
103,Albany,US,2020-12-03 15:15:24,42.6,-73.97,42.01,47,23,6.93
104,Ushuaia,AR,2020-12-03 15:15:59,-54.8,-68.3,37.4,69,75,17.22
105,Laguna De Perlas,NI,2020-12-03 15:17:25,12.34,-83.67,73.4,100,75,9.26
106,Porto Nacional,BR,2020-12-03 15:17:25,-10.71,-48.42,89.6,59,40,9.17
107,Saint-Pierre,RE,2020-12-03 15:16:19,-21.34,55.48,80.6,78,40,1.12
108,Puerto Ayora,EC,2020-12-03 15:16:04,-0.74,-90.35,73.0,94,75,13.87
109,San Jose,US,2020-12-03 15:12:47,37.34,-121.89,46.0,70,75,0.49
110,Saint-Joseph,RE,2020-12-03 15:17:25,-21.37,55.62,80.6,78,40,1.12
111,Ormara,PK,2020-12-03 15:17:25,25.21,64.64,77.67,52,0,6.71
112,Lompoc,US,2020-12-03 15:14:53,34.64,-120.46,44.6,93,40,5.82
113,Springdale,US,2020-12-03 15:15:41,36.19,-94.13,39.99,100,90,5.82
114,Ixtapa,MX,2020-12-03 15:16:50,20.7,-105.2,75.0,88,5,3.36
115,Provideniya,RU,2020-12-03 15:16:06,64.38,-173.3,10.69,84,0,4.09
116,Karratha,AU,2020-12-03 15:17:26,-20.74,116.85,83.46,66,3,5.66
117,Bethel,US,2020-12-03 15:14:43,41.37,-73.41,39.0,64,2,1.01
118,Leningradskiy,RU,2020-12-03 15:16:45,69.38,178.42,-7.13,79,0,5.77
119,Leh,IN,2020-12-03 15:16:29,34.17,77.58,17.35,65,48,2.68
120,Kropotkin,RU,2020-12-03 15:17:26,45.44,40.58,41.65,74,15,15.79
121,Alofi,NU,2020-12-03 15:17:26,-19.06,-169.92,73.4,100,65,5.82
122,Mount Isa,AU,2020-12-03 15:17:26,-20.73,139.5,95.0,24,45,8.05
123,Pemberton,CA,2020-12-03 15:15:04,50.32,-122.8,23.0,100,20,0.51
124,Cherskiy,RU,2020-12-03 15:16:24,68.75,161.3,-16.67,85,42,4.81
125,Yellowknife,CA,2020-12-03 15:16:19,62.46,-114.35,23.0,100,5,11.41
126,Arica,CL,2020-12-03 15:15:07,-18.48,-70.3,70.0,64,90,8.05
127,Montepuez,MZ,2020-12-03 15:17:27,-13.13,39.0,89.04,36,74,2.95
128,Touros,BR,2020-12-03 15:16:03,-5.2,-35.46,86.0,70,75,14.99
129,Isiro,CD,2020-12-03 15:17:27,2.77,27.62,83.28,57,57,2.98
130,Bambous Virieux,MU,2020-12-03 15:16:34,-20.34,57.76,79.0,78,40,8.05
131,Dikson,RU,2020-12-03 15:16:24,73.51,80.55,18.59,92,100,5.99
132,Guerrero Negro,MX,2020-12-03 15:16:24,27.98,-114.06,57.67,41,52,3.62
133,Beroroha,MG,2020-12-03 15:17:27,-21.67,45.17,84.09,59,86,7.78
134,Olecko,PL,2020-12-03 15:17:28,54.03,22.51,29.44,95,60,15.82
135,Avera,US,2020-12-03 15:16:00,33.19,-82.53,41.0,80,1,4.76
136,Ahuimanu,US,2020-12-03 15:17:28,21.44,-157.84,69.8,88,1,6.15
137,Praia Da Vitoria,PT,2020-12-03 15:16:13,38.73,-27.07,62.01,67,75,17.87
138,Fortuna,US,2020-12-03 15:16:17,40.6,-124.16,44.01,93,30,2.77
139,San Patricio,US,2020-12-03 15:16:05,28.02,-97.52,48.99,61,20,9.17
140,Lakes Entrance,AU,2020-12-03 15:17:28,-37.88,147.98,52.0,93,23,5.59
141,Hambantota,LK,2020-12-03 15:17:28,6.12,81.12,82.4,78,75,5.82
142,San Policarpo,PH,2020-12-03 15:17:28,12.18,125.51,81.63,86,76,8.05
143,Listvyanka,RU,2020-12-03 15:17:28,51.85,104.87,-0.4,91,90,4.47
144,Ilulissat,GL,2020-12-03 15:16:05,69.22,-51.1,8.6,60,5,33.33
145,Ostrovnoy,RU,2020-12-03 15:17:28,68.05,39.51,29.1,94,57,29.17
146,Cowra,AU,2020-12-03 15:17:29,-33.83,148.68,57.99,69,70,1.45
147,Saint Anthony,US,2020-12-03 15:17:29,45.02,-93.22,28.99,79,1,8.05
148,Nishihara,JP,2020-12-03 15:17:29,26.18,127.76,66.2,93,90,14.99
149,El Tigre,VE,2020-12-03 15:17:29,8.89,-64.25,83.61,51,2,10.36
150,Onguday,RU,2020-12-03 15:17:29,50.75,86.15,10.49,74,0,1.63
151,Fare,PF,2020-12-03 15:17:29,-16.7,-151.02,79.95,78,13,15.99
152,Jorpeland,NO,2020-12-03 15:17:29,59.02,6.04,41.0,86,75,11.41
153,Tuatapere,NZ,2020-12-03 15:16:16,-46.13,167.68,52.0,74,71,8.99
154,Iqaluit,CA,2020-12-03 15:16:30,63.75,-68.51,23.0,67,90,12.75
155,Araouane,ML,2020-12-03 15:16:58,18.9,-3.53,95.61,10,0,5.35
156,Faya,SA,2020-12-03 15:16:42,18.39,42.45,68.0,72,20,12.75
157,Manokwari,ID,2020-12-03 15:17:29,-0.87,134.08,79.57,82,95,4.16
158,Tilichiki,RU,2020-12-03 15:17:29,60.47,166.1,6.71,91,100,10.56
159,Chisindia,RO,2020-12-03 15:17:30,46.28,22.1,45.0,56,0,12.75
160,Sitka,US,2020-12-03 15:16:14,57.05,-135.33,44.6,93,90,10.29
161,Ahipara,NZ,2020-12-03 15:16:17,-35.17,173.17,54.07,80,40,6.49
162,Alice Springs,AU,2020-12-03 15:16:26,-23.7,133.88,82.99,17,2,8.05
163,Hamilton,US,2020-12-03 15:15:05,39.18,-84.53,35.01,80,90,3.36
164,Alekseyevka,RU,2020-12-03 15:17:30,50.63,38.69,25.88,88,100,13.47
165,Mount Gambier,AU,2020-12-03 15:16:02,-37.83,140.77,44.6,93,1,2.24
166,Yazman,PK,2020-12-03 15:17:30,29.12,71.74,70.02,21,0,3.13
167,Great Yarmouth,GB,2020-12-03 15:17:30,52.61,1.73,45.0,87,90,12.75
168,Pevek,RU,2020-12-03 15:16:42,69.7,170.31,-13.94,86,0,6.76
169,Nuevo Laredo,MX,2020-12-03 15:15:43,27.48,-99.52,44.6,45,75,11.41
170,Astakos,GR,2020-12-03 15:17:31,38.54,21.08,62.6,93,75,15.28
171,Germenchik,RU,2020-12-03 15:17:31,43.59,43.77,32.0,86,90,4.47
172,Exeter,GB,2020-12-03 15:17:31,50.72,-3.53,42.8,87,20,6.93
173,Boende,CD,2020-12-03 15:17:31,-0.22,20.87,88.21,51,69,1.21
174,Palmer,US,2020-12-03 15:16:13,42.16,-72.33,41.0,64,20,3.36
175,Ambilobe,MG,2020-12-03 15:16:25,-13.2,49.05,80.58,71,100,2.89
176,Kavaratti,IN,2020-12-03 15:16:51,10.57,72.64,82.29,75,99,10.42
177,Poum,NC,2020-12-03 15:17:31,-20.23,164.02,77.38,79,1,14.2
178,Port Elizabeth,ZA,2020-12-03 15:12:30,-33.92,25.57,68.0,60,0,16.11
